Name,Age,Pos,GP,G,A,P,PIM,+/-,TOI,ES,PP,SH,ESG,PPG,SHG,GWG,OTG,ESA,PPA,SHA,GWA,OTA,ESP,PPP,SHP,GWP,OTP,PPP%,G/60,A/60,P/60,ESG/60,ESA/60,ESP/60,PPG/60,PPA/60,PPP/60,G/GP,A/GP,P/GP,SHOTS,SH%,HITS,BS,FOW,FOL,FO%
William Nylander,27,1,22,12,17,29,4,1,1240,990,208,42,6,5,1,1,1,11,6,0,3,2,17,11,1,4,3,37.9,1.583,2.242,3.825,0.991,1.818,2.809,3.928,4.714,8.643,0.545,0.773,1.318,99,12.1,15,8,2,11,15.38
Leon Draisaitl,28,1,22,10,19,29,24,-2,1300,1018,220,62,3,7,0,1,0,12,6,1,4,0,15,13,1,5,0,44.8,1.258,2.391,3.649,0.482,1.929,2.411,5.199,4.456,9.655,0.455,0.864,1.318,68,14.7,12,5,248,194,56.11
Connor McDavid,26,1,20,8,21,29,14,-4,1302,1037,216,48,6,2,0,0,0,9,12,0,4,0,15,14,0,4,0,48.3,1.105,2.901,4.007,1.041,1.562,2.603,1.662,9.970,11.632,0.400,1.050,1.450,56,14.3,27,13,115,121,48.73
Brock Boeser,26,1,25,17,11,28,2,9,1125,864,259,1,9,8,0,2,0,9,2,0,2,1,18,10,0,4,1,35.7,2.175,1.407,3.582,1.498,1.498,2.997,4.438,1.110,5.548,0.680,0.440,1.120,67,25.4,15,8,1,5,16.67
Filip Forsberg,29,1,24,13,15,28,14,2,1164,912,251,1,12,1,0,1,1,7,8,0,2,0,19,9,0,3,1,32.1,1.674,1.932,3.606,1.973,1.151,3.124,0.597,4.778,5.375,0.542,0.625,1.167,97,13.4,41,8,4,3,57.14
Jack Eichel,27,1,25,10,17,27,6,4,1215,826,259,129,6,4,0,4,1,12,4,1,2,0,18,8,1,6,1,29.6,1.184,2.013,3.198,1.045,2.090,3.136,2.216,2.216,4.431,0.400,0.680,1.080,103,9.7,8,25,165,196,45.71
Jake Guentzel,29,1,23,9,18,27,8,10,1202,999,196,5,9,0,0,2,0,15,3,0,1,0,24,3,0,3,0,11.1,1.172,2.344,3.515,1.409,2.349,3.758,0.000,2.384,2.384,0.391,0.783,1.174,77,11.7,14,9,2,7,22.22
Jesper Bratt,25,1,22,8,18,26,4,-5,1175,920,202,52,4,4,0,3,0,6,12,0,2,0,10,16,0,5,0,61.5,1.113,2.505,3.619,0.711,1.067,1.778,3.225,9.675,12.900,0.364,0.818,1.182,54,14.8,19,9,3,7,30.00
Mats Zuccarello,36,1,22,6,20,26,6,-2,1098,855,238,3,5,1,0,0,0,8,12,0,2,0,13,13,0,2,0,50.0,0.894,2.981,3.875,0.957,1.531,2.487,0.685,8.221,8.906,0.273,0.909,1.182,63,9.5,3,15,7,17,29.17
Auston Matthews,26,1,22,16,9,25,0,0,1293,1010,210,72,11,5,0,0,0,6,3,0,1,0,17,8,0,1,0,32.0,2.024,1.139,3.163,1.781,0.971,2.752,3.893,2.336,6.228,0.727,0.409,1.136,92,17.4,31,28,185,175,51.39
Sidney Crosby,36,1,23,14,11,25,14,13,1162,958,194,8,12,2,0,1,0,10,1,0,1,0,22,3,0,2,0,12.0,1.885,1.481,3.367,1.959,1.633,3.592,1.609,0.804,2.413,0.609,0.478,1.087,87,16.1,19,10,311,203,60.51
Mark Scheifele,30,1,23,8,17,25,15,-3,1257,1038,215,2,4,4,0,1,1,12,5,0,3,0,16,9,0,4,1,36.0,0.996,2.116,3.112,0.603,1.808,2.411,2.899,3.624,6.523,0.348,0.739,1.087,57,14.0,15,13,227,211,51.83
Victor Hedman,33,0,25,5,20,25,20,-2,1436,1096,207,132,3,2,0,1,0,13,7,0,4,1,16,9,0,5,1,36.0,0.501,2.005,2.506,0.394,1.708,2.102,1.386,4.850,6.236,0.200,0.800,1.000,47,10.6,10,27,0,0,0.00
Filip Hronek,26,0,25,2,23,25,14,14,1473,1205,128,139,0,2,0,0,0,17,6,0,4,0,17,8,0,4,0,32.0,0.195,2.248,2.443,0.000,2.031,2.031,2.243,6.729,8.972,0.080,0.920,1.000,54,3.7,21,29,0,0,0.00
Kyle Connor,27,1,23,14,10,24,2,-8,1242,1013,226,2,11,3,0,5,0,3,7,0,2,1,14,10,0,7,1,41.7,1.764,1.260,3.023,1.699,0.463,2.163,2.074,4.840,6.914,0.609,0.435,1.043,91,15.4,3,7,1,1,50.00
Joe Pavelski,39,1,22,11,13,24,4,1,968,809,156,3,6,5,0,2,1,11,2,0,2,0,17,7,0,4,1,29.2,1.858,2.196,4.053,1.213,2.224,3.437,5.234,2.094,7.328,0.500,0.591,1.091,54,20.4,20,19,86,87,49.71
Steven Stamkos,33,1,23,10,14,24,8,-15,1108,869,237,1,6,4,0,0,0,4,10,0,1,0,10,14,0,1,0,58.3,1.412,1.977,3.389,1.080,0.720,1.800,2.633,6.583,9.216,0.435,0.609,1.043,74,13.5,19,6,79,79,50.00
Mitchell Marner,26,1,22,8,16,24,10,0,1291,940,208,141,6,2,0,1,0,10,6,0,0,0,16,8,0,1,0,33.3,1.014,2.028,3.042,1.044,1.740,2.784,1.567,4.700,6.266,0.364,0.727,1.091,51,15.7,19,20,0,4,0.00
Frank Vatrano,29,1,24,14,9,23,33,-3,1102,826,137,138,8,5,1,3,1,6,3,0,1,0,14,8,1,4,1,34.8,1.905,1.225,3.130,1.452,1.089,2.541,5.455,3.273,8.727,0.583,0.375,0.958,88,15.9,44,23,2,3,40.00
Alex DeBrincat,26,1,23,13,10,23,8,8,1069,838,229,1,9,4,0,1,0,8,2,0,4,1,17,6,0,5,1,26.1,1.902,1.463,3.365,1.681,1.494,3.175,2.723,1.362,4.085,0.565,0.435,1.000,75,17.3,9,5,2,5,28.57
Zach Hyman,31,1,21,12,11,23,16,2,1171,950,211,10,8,4,0,3,0,9,2,0,1,1,17,6,0,4,1,26.1,1.755,1.609,3.365,1.444,1.624,3.068,3.250,1.625,4.875,0.571,0.524,1.095,71,16.9,20,15,3,6,33.33
Brad Marchand,35,1,24,11,12,23,25,0,1164,817,223,123,7,4,0,4,1,5,7,0,1,0,12,11,0,5,1,47.8,1.417,1.546,2.963,1.284,0.917,2.201,2.689,4.705,7.394,0.458,0.500,0.958,84,13.1,23,16,6,16,27.27
William Karlsson,30,1,25,11,12,23,6,10,1063,766,154,141,7,3,1,0,0,9,3,0,2,0,16,6,1,2,0,26.1,1.490,1.625,3.115,1.314,1.690,3.004,2.796,2.796,5.592,0.440,0.480,0.920,62,17.7,8,16,197,139,58.63
Brandon Hagel,25,1,25,10,13,23,22,-2,1115,901,88,125,10,0,0,1,1,9,4,0,0,0,19,4,0,1,1,17.4,1.291,1.679,2.970,1.597,1.438,3.035,0.000,6.510,6.510,0.400,0.520,0.920,62,16.1,12,14,12,12,50.00
Robert Thomas,24,1,23,8,15,23,4,6,1213,917,198,98,8,0,0,1,0,10,4,1,3,0,18,4,1,4,0,17.4,1.032,1.934,2.966,1.365,1.706,3.071,0.000,3.161,3.161,0.348,0.652,1.000,50,16.0,5,12,255,198,56.29
Mathew Barzal,26,1,22,7,16,23,16,0,1145,969,173,2,5,2,0,2,1,9,7,0,1,0,14,9,0,3,1,39.1,1.000,2.286,3.287,0.844,1.519,2.362,1.889,6.612,8.502,0.318,0.727,1.045,72,9.7,10,10,5,11,31.25
Tim Stützle,21,1,19,5,18,23,8,5,1333,1006,266,60,5,0,0,1,1,13,5,0,1,0,18,5,0,2,1,21.7,0.711,2.558,3.268,0.941,2.447,3.388,0.000,3.560,3.560,0.263,0.947,1.211,61,8.2,23,7,53,60,46.90
Chris Kreider,32,1,23,14,8,22,6,8,1123,817,195,110,5,7,2,3,0,6,2,0,2,1,11,9,2,5,1,40.9,1.950,1.114,3.064,0.957,1.149,2.106,5.610,1.603,7.213,0.609,0.348,0.957,58,24.1,21,7,8,18,30.77
Sebastian Aho,26,1,20,8,14,22,12,5,1189,897,186,105,6,1,1,2,1,8,5,1,5,2,14,6,2,7,3,27.3,1.211,2.119,3.330,1.204,1.605,2.809,0.965,4.823,5.788,0.400,0.700,1.100,64,12.5,4,5,115,95,54.76
Adrian Kempe,27,1,21,8,14,22,16,14,1130,807,215,107,7,0,1,1,0,9,5,0,3,0,16,5,1,4,0,22.7,1.214,2.124,3.338,1.486,1.911,3.397,0.000,3.977,3.977,0.381,0.667,1.048,72,11.1,24,9,1,0,100.00
Dylan Larkin,27,1,21,8,14,22,31,3,1204,860,240,103,4,4,0,2,0,5,9,0,4,1,9,13,0,6,1,59.1,1.139,1.993,3.132,0.797,0.997,1.794,2.851,6.416,9.267,0.381,0.667,1.048,73,11.0,12,7,186,177,51.24
Jason Robertson,24,1,22,8,14,22,8,-2,1083,916,165,1,5,3,0,1,0,9,5,0,2,0,14,8,0,3,0,36.4,1.208,2.114,3.323,0.893,1.607,2.500,2.962,4.937,7.899,0.364,0.636,1.000,56,14.3,11,4,0,0,0.00
Aleksander Barkov,28,1,21,7,15,22,4,15,1204,874,206,123,7,0,0,1,0,9,6,0,4,1,16,6,0,5,1,27.3,0.997,2.136,3.132,1.372,1.764,3.135,0.000,4.993,4.993,0.333,0.714,1.048,61,11.5,22,9,180,153,54.05
Vincent Trocheck,30,1,23,6,16,22,27,4,1208,936,193,78,2,4,0,1,0,13,3,0,4,0,15,7,0,5,0,31.8,0.777,2.072,2.848,0.334,2.173,2.507,3.232,2.424,5.657,0.261,0.696,0.957,51,11.8,37,19,264,148,64.08
Evan Bouchard,24,0,22,5,17,22,10,-6,1330,1092,221,16,3,2,0,1,0,7,10,0,4,1,10,12,0,5,1,54.5,0.615,2.091,2.706,0.450,1.049,1.498,1.479,7.394,8.872,0.227,0.773,1.000,70,7.1,11,30,0,0,0.00
Tyler Toffoli,31,1,22,12,9,21,4,-9,1081,876,204,0,8,4,0,0,0,5,4,0,1,0,13,8,0,1,0,38.1,1.815,1.361,3.176,1.493,0.933,2.426,3.201,3.201,6.403,0.545,0.409,0.955,77,15.6,13,4,12,18,40.00
Ryan O'Reilly,32,1,24,11,10,21,6,2,1216,867,236,112,5,6,0,1,0,6,4,0,1,1,11,10,0,2,1,47.6,1.356,1.233,2.588,0.865,1.038,1.902,3.800,2.533,6.334,0.458,0.417,0.875,58,19.0,10,18,263,222,54.23
Evgeni Malkin,37,1,23,10,11,21,18,-2,1124,922,198,3,8,2,0,2,0,7,4,0,1,1,15,6,0,3,1,28.6,1.393,1.532,2.924,1.358,1.188,2.546,1.574,3.148,4.722,0.435,0.478,0.913,58,17.2,6,12,127,136,48.29
Valeri Nichushkin,28,1,24,10,11,21,12,6,1228,906,197,124,5,5,0,0,0,8,1,2,2,0,13,6,2,2,0,28.6,1.221,1.344,2.565,0.828,1.324,2.152,3.793,0.759,4.552,0.417,0.458,0.875,65,15.4,29,10,1,2,33.33
Mason McTavish,20,1,24,10,11,21,30,-9,992,834,153,4,7,2,1,3,1,7,4,0,2,1,14,6,1,5,2,28.6,1.512,1.663,3.175,1.258,1.258,2.516,1.959,3.918,5.878,0.417,0.458,0.875,63,15.9,7,14,192,145,56.97
Clayton Keller,25,1,23,8,13,21,16,-8,1166,951,213,1,4,4,0,2,0,5,8,0,3,0,9,12,0,5,0,57.1,1.073,1.744,2.817,0.658,0.823,1.481,2.930,5.861,8.791,0.348,0.565,0.913,71,11.3,6,12,12,14,46.15
John Tavares,33,1,22,7,14,21,2,1,1136,936,198,1,6,1,0,3,1,9,5,0,0,0,15,6,0,3,1,28.6,1.008,2.015,3.023,1.048,1.572,2.621,0.822,4.112,4.935,0.318,0.636,0.955,78,9.0,29,11,256,158,61.84
Kirill Kaprizov,26,1,22,7,14,21,10,-5,1257,989,260,6,2,5,0,1,0,7,7,0,1,0,9,12,0,2,0,57.1,0.911,1.823,2.734,0.331,1.157,1.488,3.144,4.401,7.545,0.318,0.636,0.955,73,9.6,10,10,0,1,0.00
Mark Stone,31,1,25,7,14,21,16,-4,1142,797,247,97,3,2,2,3,0,8,6,0,2,0,11,8,2,5,0,38.1,0.882,1.765,2.647,0.542,1.444,1.986,1.164,3.491,4.654,0.280,0.560,0.840,52,13.5,8,19,0,1,0.00
Noah Dobson,23,0,23,5,16,21,12,8,1508,1267,172,68,4,1,0,1,0,7,9,0,2,1,11,10,0,3,1,47.6,0.519,1.660,2.178,0.494,0.864,1.358,0.907,8.163,9.070,0.217,0.696,0.913,55,9.1,17,61,0,0,0.00
Casey Mittelstadt,25,1,25,5,16,21,12,1,1124,964,150,9,5,0,0,0,0,13,3,0,4,0,18,3,0,4,0,14.3,0.641,2.050,2.690,0.747,1.942,2.688,0.000,2.876,2.876,0.200,0.640,0.840,35,14.3,6,13,175,206,45.93
Trevor Moore,28,1,21,12,8,20,10,7,1012,785,143,83,9,2,1,2,0,5,3,0,2,0,14,5,1,4,0,25.0,2.031,1.354,3.385,1.964,1.091,3.054,2.382,3.573,5.954,0.571,0.381,0.952,59,20.3,14,8,3,12,20.00
Evander Kane,32,1,22,11,9,20,46,-4,1105,941,109,54,8,2,1,2,1,7,2,0,0,0,15,4,1,2,1,20.0,1.628,1.332,2.960,1.390,1.217,2.607,2.983,2.983,5.965,0.500,0.409,0.909,70,15.7,86,10,7,11,38.89
Connor Bedard,18,1,23,11,9,20,8,-14,1162,937,224,0,10,1,0,1,0,6,3,0,1,1,16,4,0,2,1,20.0,1.481,1.212,2.694,1.670,1.002,2.673,0.697,2.092,2.790,0.478,0.391,0.870,71,15.5,13,6,95,138,40.77
Carter Verhaeghe,28,1,24,11,9,20,10,4,1085,929,155,0,7,4,0,2,1,7,2,0,1,0,14,6,0,3,1,30.0,1.520,1.243,2.763,1.130,1.130,2.259,3.863,1.931,5.794,0.458,0.375,0.833,81,13.6,14,9,10,14,41.67
Anze Kopitar,36,1,21,10,10,20,6,13,1166,825,224,117,7,3,0,3,0,7,2,1,1,0,14,5,1,4,0,25.0,1.470,1.470,2.939,1.454,1.454,2.908,2.295,1.530,3.825,0.476,0.476,0.952,45,22.2,8,17,234,188,55.45
Charlie Coyle,31,1,24,9,11,20,12,2,1046,800,76,169,7,2,0,0,0,11,0,0,1,0,18,2,0,1,0,10.0,1.290,1.577,2.867,1.311,2.060,3.371,3.926,0.000,3.926,0.375,0.458,0.833,45,20.0,28,20,230,209,52.39
Roope Hintz,27,1,21,8,12,20,6,3,1021,785,150,85,4,3,1,1,0,8,3,1,1,0,12,6,2,2,0,30.0,1.342,2.014,3.356,0.873,1.746,2.619,3.420,3.420,6.840,0.381,0.571,0.952,52,15.4,5,11,85,77,52.47
Nicholas Suzuki,24,1,24,7,13,20,6,-8,1238,936,244,56,3,4,0,0,0,8,5,0,3,3,11,9,0,3,3,45.0,0.848,1.575,2.423,0.481,1.282,1.762,2.451,3.064,5.515,0.292,0.542,0.833,56,12.5,15,12,175,141,55.38
Oliver Bjorkstrand,28,1,25,7,13,20,2,2,1016,859,156,0,5,2,0,2,0,7,6,0,2,1,12,8,0,4,1,40.0,0.992,1.843,2.835,0.837,1.172,2.010,1.845,5.534,7.379,0.280,0.520,0.800,65,10.8,18,3,4,8,33.33
Kevin Fiala,27,1,21,6,14,20,18,-3,1042,808,229,3,5,1,0,0,0,8,6,0,2,0,13,7,0,2,0,35.0,0.987,2.303,3.290,1.060,1.696,2.755,0.747,4.483,5.230,0.286,0.667,0.952,58,10.3,9,12,4,9,30.77
Rasmus Dahlin,23,0,25,5,15,20,18,-7,1503,1275,189,39,4,1,0,0,0,10,5,0,4,1,14,6,0,4,1,30.0,0.479,1.436,1.915,0.452,1.129,1.581,0.760,3.801,4.562,0.200,0.600,0.800,62,8.1,45,48,0,0,0.00
Josh Morrissey,28,0,23,4,16,20,18,5,1471,1242,220,8,3,1,0,0,0,9,7,0,4,1,12,8,0,4,1,40.0,0.426,1.702,2.128,0.378,1.134,1.512,0.711,4.976,5.687,0.174,0.696,0.870,57,7.0,19,33,0,0,0.00
Bryan Rust,31,1,20,10,9,19,4,13,1151,964,98,88,10,0,0,1,1,9,0,0,1,0,19,0,0,2,1,0.0,1.563,1.406,2.969,1.867,1.680,3.546,0.000,0.000,0.000,0.500,0.450,0.950,68,14.7,15,16,1,0,100.00
Seth Jarvis,21,1,23,9,10,19,4,3,1151,838,199,114,4,5,0,3,0,8,1,1,2,0,12,6,1,5,0,31.6,1.224,1.360,2.583,0.747,1.494,2.241,3.929,0.786,4.715,0.391,0.435,0.826,48,18.8,30,8,62,68,47.69
Cole Perfetti,21,1,23,9,10,19,6,7,860,694,165,0,5,4,0,1,0,8,2,0,0,0,13,6,0,1,0,31.6,1.636,1.818,3.454,1.126,1.802,2.928,3.781,1.890,5.671,0.391,0.435,0.826,47,19.2,3,5,28,48,36.84
Lucas Raymond,21,1,23,8,11,19,4,4,1041,848,187,5,7,1,0,2,1,7,4,0,0,0,14,5,0,2,1,26.3,1.202,1.653,2.854,1.291,1.291,2.582,0.834,3.335,4.169,0.348,0.478,0.826,52,15.4,16,5,0,2,0.00
Pavel Zacha,26,1,24,8,11,19,8,3,1132,802,206,123,6,2,0,3,1,7,4,0,1,0,13,6,0,4,1,31.6,1.060,1.457,2.517,1.122,1.309,2.431,1.454,2.907,4.361,0.333,0.458,0.792,45,17.8,27,11,173,173,50.00
Cole Caufield,22,1,24,7,12,19,8,0,1120,876,243,0,5,2,0,3,3,6,6,0,0,0,11,8,0,3,3,42.1,0.937,1.607,2.544,0.856,1.027,1.882,1.231,3.693,4.924,0.292,0.500,0.792,88,8.0,19,1,1,2,33.33
Erik Karlsson,33,0,23,6,13,19,16,10,1454,1236,195,22,4,2,0,1,0,11,2,0,4,1,15,4,0,5,1,21.1,0.646,1.399,2.045,0.507,1.393,1.900,1.601,1.601,3.202,0.261,0.565,0.826,54,11.1,10,27,0,0,0.00
Mika Zibanejad,30,1,23,6,13,19,6,7,1180,851,192,136,4,2,0,1,1,5,7,1,3,0,9,9,1,4,1,47.4,0.796,1.724,2.519,0.736,0.919,1.655,1.622,5.678,7.301,0.261,0.565,0.826,59,10.2,10,20,188,152,55.29
J.T. Compher,28,1,23,6,13,19,18,7,1129,793,159,177,3,2,1,0,0,11,2,0,3,1,14,4,1,3,1,21.1,0.831,1.801,2.632,0.592,2.171,2.763,1.968,1.968,3.936,0.261,0.565,0.826,27,22.2,10,14,136,154,46.90
Matthew Tkachuk,26,1,24,4,15,19,26,0,1154,899,243,11,4,0,0,0,0,9,6,0,3,1,13,6,0,3,1,31.6,0.519,1.948,2.468,0.667,1.500,2.167,0.000,3.701,3.701,0.167,0.625,0.792,95,4.2,29,10,1,1,50.00
Vince Dunn,27,0,25,3,16,19,33,-6,1416,1216,190,9,2,1,0,0,0,8,7,1,2,2,10,8,1,2,2,42.1,0.305,1.627,1.932,0.237,0.947,1.184,0.756,5.292,6.048,0.120,0.640,0.760,49,6.1,15,22,0,0,0.00
Zachary Werenski,26,0,24,1,18,19,6,2,1426,1146,192,86,1,0,0,0,0,15,3,0,2,0,16,3,0,2,0,15.8,0.105,1.893,1.998,0.131,1.962,2.093,0.000,2.337,2.337,0.042,0.750,0.792,58,1.7,4,37,0,0,0.00
Boone Jenner,30,1,26,13,5,18,8,0,1179,902,199,78,10,3,0,0,0,4,1,0,0,0,14,4,0,0,0,22.2,1.526,0.587,2.113,1.535,0.614,2.149,2.087,0.696,2.783,0.500,0.192,0.692,73,17.8,39,34,279,220,55.91
Joel Eriksson Ek,26,1,22,11,7,18,26,1,1213,837,241,135,5,6,0,2,0,6,1,0,1,0,11,7,0,3,0,38.9,1.483,0.944,2.427,0.977,1.172,2.149,4.073,0.679,4.752,0.500,0.318,0.818,77,14.3,37,22,214,210,50.47
Teuvo Teräväinen,29,1,23,11,7,18,2,2,994,722,175,96,6,4,1,3,0,4,2,1,1,0,10,6,2,4,0,33.3,1.731,1.102,2.833,1.300,0.866,2.166,3.559,1.780,5.339,0.478,0.304,0.783,51,21.6,4,9,48,49,49.48
Brock Nelson,32,1,23,10,8,18,10,-2,1054,884,157,12,8,2,0,1,0,5,3,0,1,0,13,5,0,2,0,27.8,1.484,1.187,2.671,1.415,0.885,2.300,1.985,2.977,4.961,0.435,0.348,0.783,76,13.2,13,14,121,145,45.49
Jeff Skinner,31,1,25,10,8,18,4,-4,1076,881,187,7,6,4,0,0,0,8,0,0,4,0,14,4,0,4,0,22.2,1.338,1.071,2.409,0.980,1.307,2.287,3.080,0.000,3.080,0.400,0.320,0.720,89,11.2,8,6,16,23,41.03
John Peterka,21,1,25,10,8,18,8,2,956,852,103,0,9,1,0,2,0,6,2,0,0,0,15,3,0,2,0,16.7,1.505,1.204,2.710,1.520,1.013,2.533,1.393,2.786,4.180,0.400,0.320,0.720,66,15.2,6,7,1,7,12.50
Pavel Buchnevich,28,1,21,8,10,18,12,3,1127,836,188,103,2,4,2,2,0,9,0,1,3,0,11,4,3,5,0,22.2,1.216,1.520,2.736,0.410,1.845,2.255,3.647,0.000,3.647,0.381,0.476,0.857,50,16.0,8,6,1,10,9.09
Bo Horvat,28,1,22,7,11,18,4,1,1176,975,153,47,4,3,0,0,0,8,2,1,2,0,12,5,1,2,0,27.8,0.974,1.531,2.505,0.671,1.342,2.013,3.203,2.135,5.338,0.318,0.500,0.818,66,10.6,20,12,201,203,49.75
Nick Schmaltz,27,1,23,7,11,18,4,-9,1203,962,210,30,3,4,0,2,0,6,5,0,2,0,9,9,0,4,0,50.0,0.910,1.430,2.341,0.488,0.975,1.463,2.970,3.713,6.683,0.304,0.478,0.783,50,14.0,1,14,42,46,47.73
Quinton Byfield,21,1,21,6,12,18,6,13,909,762,147,0,5,1,0,2,0,9,3,0,2,0,14,4,0,4,0,22.2,1.131,2.262,3.393,1.125,2.024,3.149,1.165,3.495,4.660,0.286,0.571,0.857,39,15.4,8,7,6,10,37.50
Ryan Nugent-Hopkins,30,1,22,5,13,18,20,0,1190,860,220,109,4,1,0,1,0,7,5,1,1,0,11,6,1,2,0,33.3,0.687,1.787,2.474,0.761,1.332,2.092,0.743,3.717,4.460,0.227,0.591,0.818,42,11.9,12,5,101,117,46.33
Shayne Gostisbehere,30,0,22,5,13,18,0,-4,1165,870,239,54,3,2,0,1,0,5,8,0,1,0,8,10,0,2,0,55.6,0.702,1.826,2.528,0.564,0.940,1.504,1.364,5.456,6.819,0.227,0.591,0.818,36,13.9,4,22,0,0,0.00
Michael Matheson,29,0,24,5,13,18,18,-9,1492,1069,248,174,2,3,0,0,0,6,7,0,3,2,8,10,0,3,2,55.6,0.503,1.307,1.810,0.281,0.842,1.122,1.809,4.221,6.030,0.208,0.542,0.750,59,8.5,14,52,0,0,0.00
Shea Theodore,28,0,20,4,14,18,0,2,1403,1123,267,11,2,2,0,1,0,6,8,0,2,0,8,10,0,3,0,55.6,0.513,1.796,2.309,0.320,0.961,1.281,1.344,5.377,6.721,0.200,0.700,0.900,52,7.7,4,26,0,0,0.00
Tomas Hertl,30,1,24,4,14,18,8,-16,1251,969,190,90,2,2,0,0,0,10,4,0,0,0,12,6,0,0,0,33.3,0.480,1.678,2.158,0.309,1.547,1.856,1.572,3.144,4.716,0.167,0.583,0.750,49,8.2,24,21,255,187,57.69
Travis Konecny,26,1,24,12,5,17,34,8,1125,831,194,99,8,2,2,1,0,4,1,0,2,0,12,3,2,3,0,17.6,1.599,0.666,2.265,1.444,0.722,2.166,1.540,0.770,2.310,0.500,0.208,0.708,72,16.7,10,10,8,22,26.67
Brady Tkachuk,24,1,19,11,6,17,50,-1,1171,921,245,3,7,4,0,0,0,3,3,0,1,0,10,7,0,1,0,41.2,1.779,0.970,2.750,1.439,0.617,2.056,3.082,2.311,5.393,0.579,0.316,0.895,85,12.9,52,5,42,39,51.85
Wyatt Johnston,20,1,22,9,8,17,12,2,1018,812,104,101,6,1,2,1,0,5,3,0,3,1,11,4,2,4,1,23.5,1.446,1.285,2.731,1.208,1.007,2.215,1.566,4.698,6.264,0.409,0.364,0.773,53,17.0,9,14,72,78,48.00
Tyler Seguin,31,1,22,8,9,17,6,7,993,821,107,65,8,0,0,1,0,7,1,1,4,1,15,1,1,5,1,5.9,1.317,1.482,2.799,1.594,1.395,2.989,0.000,1.529,1.529,0.364,0.409,0.773,44,18.2,17,9,104,86,54.74
